batch_size,learning_rate,number_of_layers,first_layer_size,resultat,temps
5,0.01,2,100,0.9769841432571411,24.00072979927063
5,0.01,2,200,0.9828571677207947,37.63334393501282
5,0.01,2,500,0.9857142567634583,76.53537487983704
5,0.01,2,1000,0.989047646522522,143.9285728931427
5,0.01,3,100,0.9726983904838562,27.879678964614868
5,0.01,3,200,0.977142870426178,41.37694191932678
5,0.01,3,500,0.9842857122421265,81.28080701828003
5,0.01,3,1000,0.9855555295944214,164.069415807724
5,0.01,4,100,0.9773015975952148,30.154409170150757
5,0.01,4,200,0.9800000190734863,47.87517189979553
5,0.01,4,500,0.981587290763855,108.30252122879028
5,0.01,4,1000,0.9844444394111633,181.3144929409027
5,0.001,2,100,0.9730158448219299,23.36553192138672
5,0.001,2,200,0.9774603247642517,39.414543867111206
5,0.001,2,500,0.9807936549186707,79.34485816955566
5,0.001,2,1000,0.9814285635948181,140.6432240009308
5,0.001,3,100,0.9758729934692383,28.154130935668945
5,0.001,3,200,0.9780952334403992,41.03539824485779
5,0.001,3,500,0.9814285635948181,82.49708724021912
5,0.001,3,1000,0.9826984405517578,164.17007112503052
5,0.001,4,100,0.9746031761169434,30.47947406768799
5,0.001,4,200,0.9753968119621277,43.16587710380554
5,0.001,4,500,0.9823809266090393,87.03562593460083
5,0.001,4,1000,0.9833333492279053,178.48464798927307
5,0.0001,2,100,0.9358730316162109,22.06910490989685
5,0.0001,2,200,0.9407936334609985,35.678536891937256
5,0.0001,2,500,0.9479365348815918,78.93076682090759
5,0.0001,2,1000,0.9498412609100342,137.02778601646423
5,0.0001,3,100,0.926031768321991,25.7292218208313
5,0.0001,3,200,0.9342857003211975,40.927603006362915
5,0.0001,3,500,0.9387301802635193,81.0124020576477
5,0.0001,3,1000,0.9439682364463806,145.99594402313232
5,0.0001,4,100,0.8628571629524231,30.460998058319092
5,0.0001,4,200,0.9146031737327576,49.50948905944824
5,0.0001,4,500,0.9182539582252502,85.98205709457397
5,0.0001,4,1000,0.9317460060119629,173.14963793754578
20,0.01,2,100,0.9765079617500305,7.276463270187378
20,0.01,2,200,0.9819047451019287,10.985307931900024
20,0.01,2,500,0.9855555295944214,22.385175704956055
20,0.01,2,1000,0.9874603152275085,37.011394023895264
20,0.01,3,100,0.9774603247642517,8.236484050750732
20,0.01,3,200,0.9828571677207947,11.994956970214844
20,0.01,3,500,0.9850793480873108,21.920366287231445
20,0.01,3,1000,0.9873015880584717,42.97737407684326
20,0.01,4,100,0.9801587462425232,9.173325777053833
20,0.01,4,200,0.9753968119621277,14.33665680885315
20,0.01,4,500,0.9828571677207947,23.085466861724854
20,0.01,4,1000,0.9849206209182739,46.107945919036865
20,0.001,2,100,0.9731746315956116,7.598365783691406
20,0.001,2,200,0.9763492345809937,11.107383728027344
20,0.001,2,500,0.9796825647354126,23.890706062316895
20,0.001,2,1000,0.9820634722709656,35.53837299346924
20,0.001,3,100,0.9765079617500305,8.463037252426147
20,0.001,3,200,0.9777777791023254,11.85147500038147
20,0.001,3,500,0.9819047451019287,22.17053508758545
20,0.001,3,1000,0.9820634722709656,41.33799505233765
20,0.001,4,100,0.9733333587646484,9.085737943649292
