,batch_size,learning_rate,number_of_layers,first_layer_size,resultat,temps
0,5,0.01,2,100,97.7,24s
1,5,0.01,2,200,98.3,37s
2,5,0.01,2,500,98.6,1m16s
3,5,0.01,2,1000,98.9,2m23s
4,5,0.01,3,100,97.3,27s
5,5,0.01,3,200,97.7,41s
6,5,0.01,3,500,98.4,1m21s
7,5,0.01,3,1000,98.6,2m44s
8,5,0.01,4,100,97.7,30s
9,5,0.01,4,200,98.0,47s
10,5,0.01,4,500,98.2,1m48s
11,5,0.01,4,1000,98.4,3m1s
12,5,0.001,2,100,97.3,23s
13,5,0.001,2,200,97.7,39s
14,5,0.001,2,500,98.1,1m19s
15,5,0.001,2,1000,98.1,2m20s
16,5,0.001,3,100,97.6,28s
17,5,0.001,3,200,97.8,41s
18,5,0.001,3,500,98.1,1m22s
19,5,0.001,3,1000,98.3,2m44s
20,5,0.001,4,100,97.5,30s
21,5,0.001,4,200,97.5,43s
22,5,0.001,4,500,98.2,1m27s
23,5,0.001,4,1000,98.3,2m58s
24,5,0.0001,2,100,93.60000000000001,22s
25,5,0.0001,2,200,94.1,35s
26,5,0.0001,2,500,94.8,1m18s
27,5,0.0001,2,1000,95.0,2m17s
28,5,0.0001,3,100,92.60000000000001,25s
29,5,0.0001,3,200,93.4,40s
30,5,0.0001,3,500,93.89999999999999,1m21s
31,5,0.0001,3,1000,94.39999999999999,2m25s
32,5,0.0001,4,100,86.3,30s
33,5,0.0001,4,200,91.5,49s
34,5,0.0001,4,500,91.8,1m25s
35,5,0.0001,4,1000,93.2,2m53s
36,20,0.01,2,100,97.7,7s
37,20,0.01,2,200,98.2,10s
38,20,0.01,2,500,98.6,22s
39,20,0.01,2,1000,98.7,37s
40,20,0.01,3,100,97.7,8s
41,20,0.01,3,200,98.3,11s
42,20,0.01,3,500,98.5,21s
43,20,0.01,3,1000,98.7,42s
44,20,0.01,4,100,98.0,9s
45,20,0.01,4,200,97.5,14s
46,20,0.01,4,500,98.3,23s
47,20,0.01,4,1000,98.5,46s
48,20,0.001,2,100,97.3,7s
49,20,0.001,2,200,97.6,11s
50,20,0.001,2,500,98.0,23s
51,20,0.001,2,1000,98.2,35s
52,20,0.001,3,100,97.7,8s
53,20,0.001,3,200,97.8,11s
54,20,0.001,3,500,98.2,22s
55,20,0.001,3,1000,98.2,41s
56,20,0.001,4,100,97.3,9s
57,20,0.001,4,200,97.8,13s
58,20,0.001,4,500,98.2,24s
59,20,0.001,4,1000,98.2,47s
60,20,0.0001,2,100,93.4,7s
61,20,0.0001,2,200,93.89999999999999,11s
62,20,0.0001,2,500,94.39999999999999,21s
63,20,0.0001,2,1000,94.89999999999999,36s
64,20,0.0001,3,100,92.4,8s
65,20,0.0001,3,200,93.2,12s
66,20,0.0001,3,500,93.8,21s
67,20,0.0001,3,1000,94.3,41s
68,20,0.0001,4,100,91.2,8s
69,20,0.0001,4,200,91.5,13s
70,20,0.0001,4,500,91.7,23s
71,20,0.0001,4,1000,92.7,45s
72,50,0.01,2,100,97.6,4s
73,50,0.01,2,200,98.0,6s
74,50,0.01,2,500,98.3,9s
75,50,0.01,2,1000,98.5,16s
76,50,0.01,3,100,97.8,4s
77,50,0.01,3,200,98.3,6s
78,50,0.01,3,500,98.4,10s
79,50,0.01,3,1000,98.6,19s
80,50,0.01,4,100,97.3,4s
81,50,0.01,4,200,97.8,7s
82,50,0.01,4,500,98.0,10s
83,50,0.01,4,1000,98.5,21s
84,50,0.001,2,100,97.1,4s
85,50,0.001,2,200,97.6,6s
86,50,0.001,2,500,98.1,9s
87,50,0.001,2,1000,98.1,16s
88,50,0.001,3,100,97.7,4s
89,50,0.001,3,200,97.6,6s
90,50,0.001,3,500,98.1,9s
91,50,0.001,3,1000,98.3,19s
92,50,0.001,4,100,97.3,4s
93,50,0.001,4,200,97.89999999999999,6s
94,50,0.001,4,500,98.1,11s
95,50,0.001,4,1000,98.3,21s
96,50,0.0001,2,100,93.30000000000001,4s
97,50,0.0001,2,200,93.7,6s
98,50,0.0001,2,500,94.5,9s
99,50,0.0001,2,1000,95.0,16s
100,50,0.0001,3,100,92.7,4s
101,50,0.0001,3,200,93.2,6s
102,50,0.0001,3,500,93.60000000000001,10s
103,50,0.0001,3,1000,94.3,19s
104,50,0.0001,4,100,89.5,4s
105,50,0.0001,4,200,91.2,7s
106,50,0.0001,4,500,92.10000000000001,10s
107,50,0.0001,4,1000,93.0,21s
